,Name of cabinet,Name of DG,EC member,Title of EC representative,Date,TR ID,Name of interest representative,Location,Subject
769,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Alina-Stefania Ujupan', 'Werner Stengg')","('Cabinet member', 'Cabinet member')",02/04/20,"('582824527068-76',)",Suomen itsenäisyyden juhlarahasto,Brussels,fair data economy
772,"['Cabinet of Executive Vice-President Margrethe Vestager', 'Cabinet of Commissioner Thierry Breton']",[],"('Werner Stengg', 'Margrethe Vestager', 'Filomena Chirico', 'Thierry Breton', 'Agnieszka Skonieczna')","('Cabinet member', 'Executive Vice-President', 'Cabinet member', 'Commissioner', 'Cabinet member')",02/04/20,"('62536168216-12',)",Sky Group,Brussels,digital policy
773,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Frans Timmermans',)","('Executive Vice-President',)",02/04/20,"('62536168216-12',)",Sky Group,Brussels,"sustainability, plastics and the green deal"
781,[],['Trade'],"('Sabine Weyand',)","('Director-General',)",02/04/20,"('7749519702-29',)",Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.,Brussels,"eu trade agenda, future relationship with the uk, eu ftas, us, china"
782,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Valdis Dombrovskis ',)","('Executive Vice-President',)",02/04/20,"('7749519702-29',)",Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.,Brussels,"european pillar of social rights, social dialogue, european unemployment benefit reinsurance scheme, platform workers, european semester and sustainable development goals"
783,['Cabinet of Commissioner Nicolas Schmit'],[],"('Christoph Nerlich', 'Anouk Faber', 'Ana Carla  Pereira', 'Santina Bertulessi', 'Nicolas Schmit')","('Cabinet member', 'Cabinet member', 'Cabinet member', 'Cabinet member', 'Commissioner')",02/04/20,"('7749519702-29',)",Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.,Bruxelles,social agenda
786,[],['Taxation and Customs Union'],"('Stephen Quest',)","('Director-General',)",02/04/20,"('849798415326-80',)",Association of European Businesses,"Brussels, Belgium",exchange of views on customs issues
787,[],"['Financial Stability, Financial Services and Capital Markets Union']","('John Berrigan',)","('Director-General',)",02/04/20,"('849798415326-80',)",Association of European Businesses,Brussels,the impact of us sanctions on european businesses in russia
788,['Cabinet of Commissioner Phil Hogan'],[],"('Dermot Ryan',)","('Cabinet member',)",02/04/20,"('849798415326-80',)",Association of European Businesses,Brussels,trade relations with russia
800,['Cabinet of Commissioner Olivér Várhelyi'],[],"('Szabolcs Horvath',)","('Cabinet member',)",02/05/20,"('060852832806-95',)",Civil Rights Defenders,Brussels,follow up to the enlargement package
801,['Cabinet of Commissioner Helena Dalli'],[],"('Silvan Agius',)","('Cabinet member',)",02/05/20,"('060852832806-95',)",Civil Rights Defenders,Brussels ,introductory meeting on the work of civil rights defenders on anti-discriminal and equality issues in europe
814,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Werner Stengg',)","('Cabinet member',)",02/05/20,"('2893800753-48',)",Verbraucherzentrale Bundesverband,Brussels,"data strategy, artificial intelligence, digital services act"
815,[],"['Communications Networks, Content and Technology']","('Roberto Viola',)","('Director-General',)",02/05/20,"('2893800753-48',)",Verbraucherzentrale Bundesverband,Brussels,exchange of views on the approach on ai and the work of the german data ethics commission
824,[],['Climate Action'],"('Mauro Raffaele Petriccione',)","('Director-General',)",02/05/20,"('478836130634-43',)",Bombardier Transportation,Brussels,rail and sustainable mobility
825,['Cabinet of Commissioner Phil Hogan'],[],"('Kevin Keary',)","('Cabinet member',)",02/05/20,"('478836130634-43',)",Bombardier Transportation,Brussels,trade issues
833,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Christiane Canenbley', 'Werner Stengg')","('Cabinet member', 'Cabinet member')",02/05/20,"('588327811384-96',)",Apple Inc.,Brussels,exchange of views on a european approach to artificial intelligence
834,['Cabinet of Commissioner Thierry Breton'],[],"('Lucia Caudet',)","('Cabinet member',)",02/05/20,"('588327811384-96',)",Apple Inc.,Brussels,exchange of views on a european approach to exchange of views on a european approach to artificial intelligence
849,['Cabinet of Commissioner Stella Kyriakides'],[],"('Annukka Ojala',)","('Cabinet member',)",02/05/20,"('934329423960-72',)",Institute for European Environmental Policy,Brussels,discussion on discussion on sustainable food chains
